,Pressure_1_TimeatYMax,ActVolXfr[1],Pressure_2_YMax,Weight with Label,Pressure_1_YMax,Pressure_2_Integral,ActVolCsh[1],ActTimXfr[1],TemperaturePipeIn,FlowPipeIn,ActTimPlst[1],Pressure_1_YMin,Temperature_1_YMax,Pressure_1_TimeatYMin,Pressure_2_TimeatYMax,Temperature_1_Integral,ActPrsMachSpecMax[1],"ActTmpBrlZn[1,2]",CycleTime,Pressure_2_TimeatYMin,Temperature_1_TimeatYMin,TemperatureMaterial,SetTimInjCool[1],Temperature_1_TimeatYMax,Pressure_2_YMin,ActVolDcmpPst[1],ActVolPlst[1],Flashing
234,1.952,80.3,593.0,360.8,130.85370600000002,827.45,36.4,0.38,19.6,266.4,2.9,-2.055135,117.4,4.305,0.8,562.1,1489.8,221.4,10.039,0.184,0.768,31.89,4.0,2.6,-0.7,574.8,563.1,0
235,1.952,80.3,592.9,360.6,132.310215,830.84,36.0,0.379,19.5,266.2,2.9,-2.135509,117.4,4.255,0.8,562.0,1487.8,221.4,10.039,0.4,0.718,31.95,4.0,2.4,-0.6,574.9,563.1,0
236,1.952,80.2,591.6,360.8,126.98178899999999,827.98,36.1,0.38,19.5,266.6,2.9,-2.1934970000000003,117.3,4.2219999999999995,0.8,561.2,1488.8,221.4,10.039,0.184,0.701,32.04,4.0,2.4,-0.6,574.9,563.1,0
237,1.952,80.4,592.1,360.6,131.91272,829.8,36.4,0.379,19.5,266.1,2.89,-1.300626,117.8,4.189,0.8,564.1,1489.1,221.4,10.039,0.467,0.768,31.85,4.0,2.6,-0.6,574.8,563.1,0
238,1.952,80.3,591.1,360.5,129.359096,829.75,36.5,0.38,19.5,265.9,2.9,-2.145927,117.7,4.072,0.8,563.7,1489.5,221.4,10.039,0.451,0.718,31.98,4.0,2.7,-0.5,574.9,563.2,0
239,1.952,80.3,591.3,360.6,127.91698899999999,828.19,36.9,0.382,19.6,266.2,2.89,-1.7857990000000001,117.8,4.205,0.8,563.7,1489.2,221.4,10.039,0.23399999999999999,0.718,31.95,4.0,2.6,-0.6,575.0,563.2,0
240,1.952,80.4,592.6,360.5,128.931905,828.22,37.1,0.381,19.6,266.4,2.91,-2.110678,117.8,4.239,0.8,564.1,1488.8,221.4,10.039,0.23399999999999999,0.8009999999999999,32.09,4.0,2.5,-0.8,574.8,563.1,0
241,1.952,80.3,591.7,360.2,123.086969,825.14,36.5,0.381,19.6,265.8,2.9,-1.99648,117.9,4.456,0.8,564.9,1489.4,221.4,10.039,0.434,0.718,32.02,4.0,2.5,-0.7,574.7,563.1,0
242,1.952,80.2,590.7,360.4,119.844181,821.38,36.9,0.38299999999999995,19.6,265.3,2.91,-2.024763,118.0,4.3389999999999995,0.8,565.4,1489.8,221.4,10.039,0.41700000000000004,0.784,31.97,4.0,2.6,-0.6,575.1,563.1,0
243,1.952,80.3,594.6,360.3,119.280229,821.91,37.0,0.382,19.7,265.8,2.92,-2.159866,117.7,4.072,0.8,563.5,1491.0,221.4,10.039,0.4,0.768,32.02,4.0,2.5,-0.6,574.8,563.1,0
