,Weight with Label,Pressure_2_Integral,ActTimPlst[1],Temperature_1_YMax,CycleTime,Pressure_2_YMax,ActVolCsh[1],Pressure_1_TimeatYMin,FlowPipeIn,ActTimXfr[1],ActVolXfr[1],Pressure_2_TimeatYMax,"ActTmpBrlZn[1,2]",Pressure_1_TimeatYMax,Pressure_1_YMax,Temperature_1_Integral,Pressure_1_YMin,TemperatureMaterial,Temperature_1_TimeatYMin,TemperaturePipeIn,ActPrsMachSpecMax[1],Pressure_2_TimeatYMin,Temperature_1_TimeatYMax,Pressure_2_YMin,SetTimInjCool[1],ActVolDcmpPst[1],ActVolPlst[1],trialHasPassedDropTest
234,360.8,827.45,2.9,117.4,10.039,593.0,36.4,4.305,266.4,0.38,80.3,0.8,221.4,1.952,130.85370600000002,562.1,-2.055135,31.89,0.768,19.6,1489.8,0.184,2.6,-0.7,4.0,574.8,563.1,0
235,360.6,830.84,2.9,117.4,10.039,592.9,36.0,4.255,266.2,0.379,80.3,0.8,221.4,1.952,132.310215,562.0,-2.135509,31.95,0.718,19.5,1487.8,0.4,2.4,-0.6,4.0,574.9,563.1,0
236,360.8,827.98,2.9,117.3,10.039,591.6,36.1,4.2219999999999995,266.6,0.38,80.2,0.8,221.4,1.952,126.98178899999999,561.2,-2.1934970000000003,32.04,0.701,19.5,1488.8,0.184,2.4,-0.6,4.0,574.9,563.1,0
237,360.6,829.8,2.89,117.8,10.039,592.1,36.4,4.189,266.1,0.379,80.4,0.8,221.4,1.952,131.91272,564.1,-1.300626,31.85,0.768,19.5,1489.1,0.467,2.6,-0.6,4.0,574.8,563.1,0
238,360.5,829.75,2.9,117.7,10.039,591.1,36.5,4.072,265.9,0.38,80.3,0.8,221.4,1.952,129.359096,563.7,-2.145927,31.98,0.718,19.5,1489.5,0.451,2.7,-0.5,4.0,574.9,563.2,0
239,360.6,828.19,2.89,117.8,10.039,591.3,36.9,4.205,266.2,0.382,80.3,0.8,221.4,1.952,127.91698899999999,563.7,-1.7857990000000001,31.95,0.718,19.6,1489.2,0.23399999999999999,2.6,-0.6,4.0,575.0,563.2,0
240,360.5,828.22,2.91,117.8,10.039,592.6,37.1,4.239,266.4,0.381,80.4,0.8,221.4,1.952,128.931905,564.1,-2.110678,32.09,0.8009999999999999,19.6,1488.8,0.23399999999999999,2.5,-0.8,4.0,574.8,563.1,0
241,360.2,825.14,2.9,117.9,10.039,591.7,36.5,4.456,265.8,0.381,80.3,0.8,221.4,1.952,123.086969,564.9,-1.99648,32.02,0.718,19.6,1489.4,0.434,2.5,-0.7,4.0,574.7,563.1,0
242,360.4,821.38,2.91,118.0,10.039,590.7,36.9,4.3389999999999995,265.3,0.38299999999999995,80.2,0.8,221.4,1.952,119.844181,565.4,-2.024763,31.97,0.784,19.6,1489.8,0.41700000000000004,2.6,-0.6,4.0,575.1,563.1,0
243,360.3,821.91,2.92,117.7,10.039,594.6,37.0,4.072,265.8,0.382,80.3,0.8,221.4,1.952,119.280229,563.5,-2.159866,32.02,0.768,19.7,1491.0,0.4,2.5,-0.6,4.0,574.8,563.1,0
244,360.3,821.11,2.91,117.8,10.039,592.2,37.0,4.138,265.8,0.38299999999999995,80.2,0.8,221.4,1.969,117.165452,564.4,-2.119337,31.94,0.7509999999999999,19.7,1490.2,0.3,2.6,-0.8,4.0,574.9,563.1,0
245,360.1,820.6,2.9,117.9,10.039,594.0,37.5,4.305,266.3,0.38299999999999995,80.4,0.8,221.4,1.952,115.960641,564.6,-2.039914,31.88,0.818,19.7,1491.6,0.3,2.5,-0.8,4.0,575.0,563.1,0
246,359.9,818.54,2.91,117.7,10.049,592.4,37.2,4.205,266.2,0.384,80.3,0.8,221.4,1.969,110.68813999999999,563.1,-2.0536950000000003,31.89,0.7340000000000001,19.7,1490.8,0.317,2.4,-0.8,4.0,574.9,563.1,0
247,359.7,815.09,2.9,118.0,10.049,592.4,37.6,4.239,266.6,0.385,80.3,0.8,220.8,1.969,104.614089,563.8,-2.16088,32.09,0.701,19.7,1491.5,0.317,2.6,-0.8,4.0,575.0,563.1,0
248,360.2,812.18,2.89,117.5,10.049,593.7,37.9,4.055,266.2,0.384,80.4,0.8,220.8,1.986,99.003698,561.8,-2.177479,31.99,0.7509999999999999,19.7,1491.3,0.41700000000000004,2.7,-0.7,4.0,575.0,563.1,0
249,359.8,814.86,2.89,117.8,10.049,594.1,38.2,4.105,266.2,0.386,80.2,0.8,220.8,1.986,102.53415,563.3,-2.125778,31.99,0.684,19.7,1492.6,0.35,2.4,-0.6,4.0,575.0,563.1,0
250,360.0,815.15,2.9,117.9,10.049,594.4,37.9,4.088,266.2,0.384,80.4,0.8,220.8,1.986,101.826441,563.4,-2.074086,31.99,0.718,19.7,1491.7,0.4,2.7,-0.6,4.0,575.0,563.1,0
251,359.8,817.35,2.92,117.9,10.049,594.6,38.0,4.088,266.2,0.385,80.3,0.8,220.8,1.986,98.553043,563.4,-2.139783,31.99,0.768,19.7,1491.6,0.35,2.5,-0.7,4.0,575.0,563.1,0
252,360.3,813.22,2.89,117.5,10.049,594.9,38.4,4.155,266.2,0.385,80.4,0.8,220.8,2.002,95.89821500000001,561.5,-2.1195880000000002,32.27,0.784,19.5,1491.9,0.33399999999999996,2.6,-0.8,4.0,575.0,563.1,0
253,359.7,819.84,2.9,118.0,10.049,596.6,37.9,4.322,265.9,0.385,80.4,0.8,220.8,1.969,107.294284,564.4,-2.0672599999999997,32.35,0.7340000000000001,19.5,1491.3,0.33399999999999996,2.4,-0.6,4.0,575.0,563.1,0
254,359.7,809.31,2.89,117.7,10.049,594.1,38.0,4.088,265.8,0.385,80.4,0.8,220.8,2.002,91.392354,562.0,-2.121297,32.29,0.7509999999999999,19.5,1491.2,0.35,2.5,-0.6,4.0,575.0,563.1,0
