charge	stahlsorte	kundennr	Schmelzdatum	01ist	02ist	03ist	04ist	05ist	06ist	07ist	08ist	09ist	10ist	11ist	12ist	13ist	14ist	15ist	16ist	17ist	18ist	19ist	20ist	21ist	22ist	23ist	24ist	25ist	26ist	27ist	28ist	29ist	30ist	31ist	32ist	33ist
471272	535557	128839	"2014-11-01"	0.00000	0.00000	0.09680	0.00846	0.00728	0.03410	0.0002	0.00110	0.00147	0.00420	0.0100	0.00000	0.00120	0.00000	0.0020	0.01950	0.00140	0.00120	0.00045	0.00060	0.00080	0.0000	0.00000	0.00130	0.00075	0.0000	0.00550	0.00055	0.00000	0.00000	0.33840	1.7500	0.00000
471286	488556	138921	"2014-11-01"	0.00000	0.00000	0.07600	0.01188	0.01898	0.08140	0.0003	0.01430	0.00133	0.00280	0.0220	0.00000	0.00120	0.00000	0.0033	0.04420	0.00140	0.00120	0.00108	0.00060	0.00080	0.0000	0.00000	0.00130	0.00165	0.0000	0.00550	0.00055	0.00000	0.00000	0.16740	0.5770	0.00000
471267	535557	128839	"2014-11-01"	0.00000	0.00000	0.09360	0.00711	0.00637	0.02750	0.0004	0.00660	0.00161	0.00280	0.0110	0.00000	0.00120	0.00000	0.0039	0.01950	0.00140	0.00120	0.00072	0.00060	0.00080	0.0000	0.00000	0.00130	0.00075	0.0000	0.00550	0.00055	0.00000	0.00000	0.34290	1.7500	0.00000
471283	488556	138921	"2014-11-01"	0.00000	0.00000	0.07360	0.01494	0.02470	0.10890	0.0002	0.01100	0.00112	0.00280	0.0170	0.00000	0.00240	0.00000	0.0031	0.05330	0.00140	0.00120	0.00108	0.00060	0.00080	0.0000	0.00000	0.00130	0.00180	0.0000	0.00550	0.00055	0.00000	0.00000	0.16290	0.5880	0.00000
471280	488556	138921	"2014-11-01"	0.00000	0.00000	0.07200	0.01368	0.01820	0.07810	0.0002	0.00660	0.00126	0.00280	0.0170	0.00000	0.00120	0.00000	0.0030	0.04420	0.00140	0.00120	0.00099	0.00060	0.00080	0.0000	0.00000	0.00130	0.00150	0.0000	0.00550	0.00055	0.00000	0.00000	0.17010	0.5750	0.00000
471278	488556	138921	"2014-11-01"	0.00000	0.00000	0.07200	0.01161	0.02938	0.07810	0.0002	0.00770	0.00161	0.00420	0.0390	0.00000	0.00120	0.00000	0.0039	0.05200	0.00140	0.00120	0.00144	0.00060	0.00080	0.0000	0.00000	0.00130	0.00120	0.0000	0.00550	0.00055	0.00000	0.00000	0.15480	0.5890	0.00000
471269	535557	128839	"2014-11-01"	0.00000	0.00000	0.09520	0.00675	0.00676	0.02640	0.0004	0.00660	0.00168	0.00280	0.0110	0.00000	0.00120	0.00000	0.0036	0.01950	0.00140	0.00120	0.00099	0.00060	0.00080	0.0000	0.00000	0.00130	0.00075	0.0000	0.00550	0.00055	0.00000	0.00000	0.34380	1.8000	0.00000
471287	488556	138921	"2014-11-01"	0.00000	0.00000	0.06720	0.01467	0.01768	0.09350	0.0002	0.01100	0.00119	0.00280	0.0220	0.00000	0.00120	0.00000	0.0033	0.04550	0.00140	0.00120	0.00117	0.00060	0.00080	0.0000	0.00000	0.00130	0.00165	0.0000	0.00550	0.00055	0.00000	0.00000	0.15480	0.5810	0.00000
471276	488556	138921	"2014-11-01"	0.00000	0.00000	0.07360	0.01296	0.02873	0.09680	0.0002	0.01210	0.00140	0.00420	0.0460	0.00000	0.00120	0.00000	0.0029	0.04290	0.00140	0.00120	0.00234	0.00060	0.00080	0.0000	0.00000	0.00130	0.00120	0.0000	0.00550	0.00055	0.00000	0.00000	0.16020	0.5680	0.00000
471309	541753	98860	"2014-11-01"	0.00000	0.00000	0.34000	0.00873	0.01027	0.04180	0.0002	0.00440	0.00133	0.00280	0.0120	0.00000	0.00120	0.00000	0.0029	0.02600	0.00140	0.00120	0.00081	0.00060	0.00080	0.0000	0.00000	0.00130	0.00075	0.0000	0.00550	0.00055	0.00000	0.00000	0.18450	0.6580	0.00000
471307	541753	98860	"2014-11-01"	0.00000	0.00000	0.34160	0.01053	0.01703	0.04400	0.0002	0.00550	0.00147	0.00280	0.0110	0.00000	0.00120	0.00000	0.0024	0.02340	0.00140	0.00120	0.00108	0.00060	0.00080	0.0000	0.00000	0.00130	0.00075	0.0000	0.00550	0.00055	0.00000	0.00000	0.16560	0.6640	0.00000
464417	535557	128839	"2014-11-01"	0.00000	0.00000	0.09520	0.00675	0.00676	0.02640	0.0004	0.00660	0.00168	0.00280	0.0110	0.00000	0.00120	0.00000	0.0036	0.01950	0.00140	0.00120	0.00099	0.00060	0.00080	0.0000	0.00000	0.00130	0.00075	0.0000	0.00550	0.00055	0.00000	0.00000	0.34380	1.8000	0.00000
471304	541753	98860	"2014-11-01"	0.00000	0.00000	0.34000	0.01071	0.01742	0.04840	0.0002	0.00550	0.00147	0.00280	0.0110	0.00000	0.00120	0.00000	0.0031	0.02470	0.00140	0.00120	0.00135	0.00060	0.00080	0.0000	0.00000	0.00130	0.00075	0.0000	0.00550	0.00055	0.00000	0.00000	0.17190	0.6560	0.00000
464411	541753	98860	"2014-11-01"	0.00000	0.00000	0.34000	0.01071	0.01742	0.04840	0.0002	0.00550	0.00147	0.00280	0.0110	0.00000	0.00120	0.00000	0.0031	0.02470	0.00140	0.00120	0.00135	0.00060	0.00080	0.0000	0.00000	0.00130	0.00075	0.0000	0.00550	0.00055	0.00000	0.00000	0.17190	0.6560	0.00000
471311	541753	98860	"2014-11-02"	0.00000	0.00000	0.33840	0.00747	0.01040	0.04510	0.0002	0.00550	0.00203	0.00420	0.0140	0.00000	0.00120	0.00000	0.0025	0.02990	0.00140	0.00120	0.00108	0.00060	0.00080	0.0000	0.00000	0.00130	0.00075	0.0000	0.00550	0.00055	0.00000	0.00000	0.18540	0.6770	0.00000
464435	550289	369844	"2014-11-02"	0.00000	0.00000	0.66160	0.00738	0.00728	0.30910	0.0002	0.00550	0.00154	0.00280	0.0130	0.00000	0.00120	0.00000	0.0029	0.02860	0.00140	0.00120	0.00063	0.00060	0.02960	0.0000	0.00000	0.00130	0.00075	0.0000	0.00550	0.00055	0.00000	0.00000	0.23130	0.8620	0.00000
